Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
7798,2230,9,120,24
7157,2223,16,139,16
8396,2277,10,131,27
10913,2428,31,120,40
5257,2102,7,153,0
6999,2249,0,212,0
6517,2196,5,175,1
8698,2310,8,136,25
7268,2229,21,112,19
10231,2425,29,165,24
11782,2565,51,175,24
11398,2561,43,248,5
12486,2594,58,207,21
10844,2517,35,222,15
9437,2331,22,119,34
7779,2283,20,116,16
9317,2373,13,165,20
8216,2357,33,224,0
7203,2311,11,242,0
7607,2345,17,251,1
6543,2255,18,217,1
12754,2573,47,169,24
6318,2184,9,119,17
10361,2455,28,183,24
10255,2427,51,149,14
9970,2456,48,133,17
9249,2339,58,143,4
13675,2734,67,226,19
6462,2272,0,177,0
8028,2311,16,161,10
12021,2520,54,161,19
18214,3072,79,369,10
19026,3238,108,353,17
12998,2740,15,373,0
13736,2800,49,337,15
10764,2496,30,221,12
10699,2502,30,159,33
11808,2567,28,219,14
7942,2298,14,177,8
14275,2863,43,388,6
9285,2479,28,272,8
11874,2586,69,197,26
3147,1979,0,136,0
9392,2422,4,222,17
9941,2457,23,221,16
8782,2469,21,239,9
8409,2359,24,217,1
4395,2047,12,133,0
10518,2628,46,284,6
12758,2688,50,295,2
7373,2302,15,185,8
16005,2907,73,309,7
12094,2594,40,226,21
13637,2773,49,322,6
15344,2921,48,364,19
8909,2412,32,246,1
10200,2503,2,258,8
6394,2213,0,199,0
4878,2058,27,114,1
22598,3309,131,276,58
15635,2828,77,242,30
5250,2180,14,173,1
11176,2581,29,244,24
9716,2441,5,224,18
2363,1851,8,60,0
8157,2312,17,196,5
4558,2054,17,117,6
10578,2530,42,180,19
10867,2477,53,157,28
13002,2658,43,264,17
8903,2400,38,214,4
8815,2374,22,213,0
10106,2462,32,215,5
5419,2087,5,118,5
8294,2304,25,168,5
18548,3006,84,190,63
8564,2351,31,199,8
15445,2878,66,276,39
10607,2476,43,168,23
11443,2557,30,228,27
9500,2389,36,178,14
8690,2438,24,172,15
9756,2417,27,182,21
12091,2661,60,261,7
8731,2437,31,249,4
12336,2619,43,212,29
8338,2360,25,194,14
10637,2513,23,173,30
12332,2620,22,216,40
6521,2225,0,200,0
28751,3746,121,341,108
24880,3680,86,359,80
6848,2159,25,87,23
11583,2530,59,198,10
839,1729,0,22,0
7779,2266,17,150,21
10375,2447,17,203,17
10717,2489,35,192,24
8222,2183,17,84,20
1756,1777,0,23,0
599,1709,0,18,0
18253,2919,68,256,47
17949,2824,91,237,25
29259,5080,20,228,18
4156,1988,17,95,0
5791,2053,47,58,5
290,1691,0,14,0
12234,2555,54,183,30
11418,2408,30,157,18
8828,2279,31,131,21
10625,2345,35,164,9
12499,2584,37,228,22
11989,2629,47,300,2
8830,2373,17,237,0
8640,2333,31,146,19
2123,1826,0,46,0
8785,2373,45,202,3
2028,1826,0,57,0
13994,2688,79,188,29
10692,2533,28,270,6
513,1705,0,18,0
6308,2137,3,109,24
10578,2425,47,163,21
7730,2238,44,139,3
16343,2926,70,315,15
129,1674,0,7,0
13969,2703,46,287,9
12470,2622,23,246,22
16701,2869,71,232,37
7917,2195,6,44,56
440,1703,0,19,0
10948,2468,33,143,39
14556,2671,72,169,36
14968,686,0,8,0
973,1731,0,26,0
17388,2846,78,259,19
10549,2441,25,165,31
5507,2056,13,70,22
8860,2303,34,119,23
3325,1788,0,45,0
15945,2748,84,174,33
9402,2320,64,87,29
4673,1972,23,65,5
6537,2119,10,78,28
15084,2749,47,198,48
15641,2781,60,185,46
1487,1776,0,48,0
12667,2535,62,145,33
19061,3002,84,238,57
21724,3052,134,243,28
3153,1859,14,47,0
28,1659,0,0,0
7252,2257,31,184,2
11137,2550,26,221,28
7559,2227,9,122,28
8444,2287,36,78,29
10863,2498,32,169,31
10759,2614,25,338,3
18854,3078,107,310,25
15934,2804,63,214,37
6087,2105,10,96,17
17332,2945,74,225,39
13779,2795,43,348,10
21160,3236,131,276,50
18061,3051,97,335,19
7792,2242,14,121,27
10123,2446,24,188,10
5925,2094,23,68,19
11841,2570,67,179,17
4553,1995,1,68,17
4458,2040,0,133,0
7648,2316,15,222,0
6824,2236,6,193,0
10856,2557,10,278,11
10472,2555,7,327,0
8795,2460,0,316,0
7318,2281,0,221,0
6022,2182,13,79,22
2997,1978,0,129,0
9544,2428,8,204,19
5139,2099,9,159,0
9235,2432,26,243,6
9000,2437,5,277,3
7920,2309,9,193,9
7758,2348,18,107,24
7144,2288,0,224,0
3669,1965,0,94,0
84,1669,0,5,0
11526,2621,37,313,3
14056,2904,12,455,3
5671,2145,0,178,0
3060,1946,0,73,0
6425,2266,0,221,0
4696,2025,0,117,0
10618,2601,38,246,4
7078,2349,0,284,0
6399,2216,0,188,9
10011,2440,2,221,12
8156,2334,6,227,0
10370,2546,35,196,23
5196,2049,10,106,0
12016,2632,33,300,7
6950,2216,13,162,8
6831,2275,4,206,6
9388,2573,34,278,1
7934,2387,0,277,0
8209,2378,8,238,11
6713,2268,0,230,0
5348,2201,0,232,0
7368,2364,8,290,0
